'sample #','MLII','V1'
0,955,992
1,955,992
2,955,992
3,955,992
4,955,992
5,955,992
6,955,992
7,955,992
8,958,994
9,960,995
10,960,990
11,959,988
12,958,990
13,959,994
14,961,992
15,963,990
16,964,987
17,961,985
18,960,987
19,961,987
20,964,989
21,966,984
22,966,986
23,965,983
24,966,985
25,965,989
26,967,989
27,973,986
28,978,984
29,984,981
30,985,982
31,992,982
32,992,986
33,991,980
34,984,979
35,984,975
36,982,977
37,982,981
38,983,979
39,982,977
40,982,976
41,980,975
42,974,979
43,974,981
44,974,983
45,972,983
46,971,983
47,969,985
48,963,986
49,960,989
50,958,988
51,960,988
52,960,984
53,961,984
54,956,987
55,954,988
56,957,989
57,960,984
58,962,984
59,957,983
60,955,983
61,954,984
62,954,985
63,953,981
64,954,981
65,954,980
66,950,981
67,952,980
68,955,980
69,959,980
70,959,980
71,957,978
72,950,975
73,944,977
74,944,978
75,945,978
76,954,976
77,982,976
78,1022,976
79,1073,975
80,1130,974
81,1194,967
82,1241,961
83,1237,949
84,1187,944
85,1120,942
86,1066,951
87,1022,965
88,995,978
89,987,984
90,976,984
91,967,981
92,967,983
93,967,985
94,966,988
95,964,986
96,957,984
97,952,984
98,952,987
99,947,988
100,945,985
101,941,982
102,938,978
103,937,979
104,943,984
105,942,983
106,943,982
107,941,979
108,936,979
109,938,982
110,941,986
111,940,986
112,941,979
113,940,978
114,938,975
115,936,977
116,939,979
117,941,979
118,939,976
119,938,974
120,939,974
121,941,978
122,940,980
123,941,978
124,940,977
125,940,976
126,937,979
127,941,982
128,941,984
129,944,987
130,945,986
131,942,982
132,939,985
133,941,988
134,943,989
135,945,988
136,944,985
137,942,984
138,940,987
139,942,985
140,945,985
141,948,982
142,946,981
143,944,980
144,941,982
145,940,983
146,947,982
147,949,980
148,948,983
149,949,981
150,951,982
151,954,982
152,954,981
153,954,980
154,956,977
155,954,975
156,954,974
157,959,973
158,960,976
159,962,974
160,962,975
161,962,976
162,963,976
163,967,974
164,970,976
165,971,975
166,971,978
167,973,977
168,976,978
169,980,979
170,982,982
171,983,983
172,986,983
173,989,984
174,989,983
175,991,982
176,993,984
177,995,984
178,998,984
179,999,981
180,997,979
181,999,979
182,1002,981
183,1006,981
184,1003,979
185,1000,976
186,1000,972
187,1000,973
188,1002,977
189,1002,978
190,998,978
191,992,975
192,991,973
193,990,976
194,990,979
195,988,981
196,983,977
197,979,972
198,977,971
199,975,974
200,974,976
201,973,977
202,971,977
203,969,974
204,967,972
205,965,975
206,966,981
207,963,981
208,961,979
209,958,974
210,956,979
211,959,980
212,959,986
213,961,987
214,962,987
215,957,984
216,953,983
217,953,986
218,951,989
219,955,989
220,955,986
221,958,983
222,954,983
223,953,987
224,956,988
225,955,985
226,955,982
227,954,979
228,954,979
229,954,984
230,955,986
231,958,983
232,956,981
233,954,980
234,952,982
235,954,986
236,956,986
237,958,981
238,960,977
239,959,977
240,960,977
241,959,983
242,960,983
243,961,979
244,959,978
245,955,976
246,954,977
247,958,981
248,960,984
249,963,980
250,963,982
251,964,980
252,960,982
253,959,985
254,959,987
255,963,987
256,966,987
257,963,984
258,960,986
259,959,989
260,959,990
261,962,987
262,962,988
263,962,987
264,959,986
265,962,989
266,962,989
267,961,987
268,962,985
269,960,982
270,958,984
271,960,984
272,961,985
273,961,981
274,961,981
275,956,982
276,956,982
277,959,984
278,962,984
279,963,984
280,960,983
281,960,980
282,958,979
283,958,976
284,957,976
285,960,977
286,960,976
287,958,975
288,956,975
289,955,977
290,957,979
291,960,977
292,958,977
293,959,979
294,960,980
295,959,982
296,959,983
297,961,982
298,961,987
299,960,985
300,957,985
301,957,986
302,959,988
303,960,988
304,958,991
305,956,988
306,954,986
307,958,986
308,957,987
309,959,984
310,962,983
311,956,983
312,953,980
313,957,982
314,960,981
315,963,983
316,962,982
317,961,984
318,960,982
319,954,979
320,961,984
321,960,985
322,960,983
323,960,981
324,960,980
325,960,974
326,962,980
327,962,979
328,961,977
329,961,979
330,962,978
331,965,979
332,968,979
333,968,977
334,966,978
335,965,979
336,965,977
337,967,980
338,969,981
339,976,982
340,980,983
341,981,983
342,981,987
343,989,988
344,995,988
345,996,987
346,994,989
347,987,987
348,982,986
349,981,987
350,981,986
351,983,986
352,982,984
353,981,984
354,977,981
355,973,982
356,974,983
357,974,981
358,976,982
359,973,979
360,970,981
361,969,980
362,964,980
363,964,980
364,959,980
365,960,979
366,959,979
367,961,978
368,963,976
369,963,975
370,961,978
371,960,976
372,953,972
373,954,974
374,954,974
375,957,973
376,960,976
377,959,973
378,956,975
379,954,975
380,959,979
381,963,980
382,962,985
383,959,980
384,952,981
385,953,980
386,952,986
387,953,989
388,952,991
389,950,986
390,970,987
391,1007,987
392,1051,987
393,1101,987
394,1162,981
395,1213,971
396,1228,960
397,1202,950
398,1145,946
399,1093,953
400,1047,962
401,1013,971
402,996,978
403,987,982
404,977,985
405,976,985
406,974,984
407,970,981
408,964,979
409,961,979
410,956,982
411,950,981
412,948,979
413,943,974
414,945,974
415,947,977
416,949,983
417,951,981
418,949,978
419,945,975
420,941,975
421,940,978
422,943,984
423,946,983
424,942,983
425,944,981
426,942,985
427,946,990
428,945,989
429,946,989
430,945,987
431,941,986
432,939,988
433,940,989
434,945,992
435,946,988
436,944,986
437,943,984
438,943,985
439,945,984
440,947,984
441,947,986
442,947,983
443,944,983
444,943,984
445,943,984
446,944,986
447,946,983
448,947,983
449,944,980
450,941,980
451,943,981
452,946,980
453,949,978
454,950,977
455,947,978
456,944,978
457,947,978
458,950,979
459,952,979
460,951,977
461,951,979
462,949,979
463,948,978
464,953,979
465,956,981
466,956,981
467,957,983
468,955,985
469,957,985
470,960,987
471,961,987
472,958,988
473,961,984
474,958,986
475,961,988
476,964,990
477,969,989
478,973,990
479,976,987
480,973,985
481,975,983
482,977,987
483,980,983
484,982,985
485,982,980
486,981,981
487,983,981
488,987,982
489,990,981
490,994,982
491,996,981
492,995,978
493,996,978
494,1001,979
495,1000,978
496,999,975
497,1001,973
498,998,970
499,1000,973
500,1000,974
501,999,974
502,1001,976
503,998,974
504,999,972
505,999,973
506,998,976
507,996,979
508,992,981
509,990,979
510,986,980
511,985,983
512,986,985
513,988,987
514,985,987
515,979,987
516,977,986
517,976,988
518,977,991
519,977,991
520,976,992
521,970,988
522,969,987
523,968,985
524,969,988
525,969,989
526,968,986
527,964,985
528,962,985
529,962,985
530,963,987
531,965,991
532,965,988
533,962,984
534,960,984
535,963,984
536,964,986
537,965,987
538,961,986
539,961,980
540,960,978
541,963,982
542,963,982
543,965,984
544,962,983
545,963,979
546,964,978
547,963,980
548,964,984
549,962,988
550,965,987
551,965,983
552,965,983
553,966,987
554,967,992
555,968,992
556,969,990
557,969,990
558,967,990
559,966,994
560,969,995
561,968,994
562,970,990
563,967,989
564,965,989
565,965,992
566,969,994
567,970,991
568,971,990
569,971,985
570,970,986
571,971,987
572,970,991
573,972,992
574,972,989
575,971,987
576,967,987
577,967,989
578,969,989
579,972,987
580,971,983
581,968,980
582,967,981
583,968,984
584,971,985
585,971,983
586,971,982
587,971,981
588,971,982
589,970,985
590,970,986
591,973,985
592,971,984
593,968,984
594,966,987
595,968,991
596,970,994
597,970,993
598,971,992
599,971,989
600,965,991
601,968,993
602,967,996
603,971,993
604,971,993
605,968,991
606,967,992
607,967,994
608,969,994
609,969,990
610,969,988
611,969,984
612,967,988
613,967,990
614,970,992
615,971,988
616,970,986
617,969,987
618,967,986
619,968,989
620,971,992
621,971,988
622,969,987
623,970,986
624,969,984
625,969,983
626,969,986
627,972,986
628,971,982
629,969,979
630,967,979
631,968,982
632,968,986
633,972,984
634,970,983
635,969,981
636,968,980
637,968,984
638,970,989
639,973,991
640,979,991
641,977,989
642,975,989
643,976,994
644,980,996
645,982,995
646,981,994
647,980,994
648,979,992
649,977,996
650,978,1000
651,980,996
652,986,993
653,988,989
654,987,987
655,994,993
656,1001,995
657,1003,993
658,1004,989
659,999,985
660,994,986
661,993,988
662,994,991
663,992,989
664,989,988
665,987,983
666,984,984
667,986,989
668,986,987
669,988,984
670,985,981
671,982,977
672,979,978
673,980,982
674,979,983
675,976,983
676,976,980
677,972,980
678,966,978
679,967,983
680,968,982
681,971,982
682,969,984
683,965,982
684,963,984
685,965,990
686,966,992
687,969,992
688,967,990
689,965,989
690,963,986
691,960,993
692,963,994
693,965,993
694,964,992
695,963,987
696,963,988
697,965,990
698,967,994
699,966,993
700,962,988
701,956,988
702,950,987
703,951,992
704,966,992
705,994,992
706,1037,991
707,1083,988
708,1132,986
709,1192,984
710,1241,981
711,1257,971
712,1232,957
713,1177,951
714,1120,954
715,1068,962
716,1027,976
717,1008,984
718,1001,986
719,987,982
720,977,980
721,975,984
722,977,986
723,976,988
724,972,988
725,964,986
726,955,987
727,954,992
728,951,994
729,954,993
730,951,994
731,949,993
732,946,995
733,949,998
734,950,998
735,950,997
736,949,996
737,947,994
738,946,994
739,945,997
740,944,998
741,946,995
742,946,992
743,944,993
744,944,993
745,946,991
746,947,994
747,947,992
748,947,993
749,945,992
750,942,993
751,944,992
752,946,994
753,947,992
754,945,992
755,945,990
756,943,987
757,943,988
758,946,988
759,948,988
760,948,986
761,945,986
762,944,987
763,942,987
764,946,989
765,947,990
766,949,990
767,947,988
768,945,991
769,945,993
770,946,993
771,948,994
772,947,997
773,946,998
774,945,997
775,947,999
776,949,999
777,951,1001
778,951,1000
779,950,998
780,950,998
781,951,998
782,954,1000
783,956,998
784,955,999
785,955,995
786,952,993
787,954,993
788,960,995
789,963,998
790,966,996
791,964,994
792,966,992
793,965,993
794,968,995
795,973,998
796,977,994
797,975,989
798,975,987
799,977,987
800,979,990
801,983,992
802,988,991
803,988,988
804,986,987
805,990,987
806,993,993
807,995,992
808,996,990
809,994,988
810,996,986
811,995,991
812,997,993
813,1002,996
814,998,998
815,999,994
816,998,994
817,997,995
818,1000,996
819,1000,996
820,1000,999
821,995,995
822,991,994
823,990,996
824,989,1000
825,989,1000
826,986,998
827,981,994
828,979,993
829,977,994
830,974,997
831,975,997
832,971,994
833,970,993
834,965,994
835,961,998
836,963,1000
837,965,1000
838,964,999
839,961,995
840,959,993
841,959,994
842,959,997
843,959,995
844,958,992
845,956,991
846,953,990
847,952,992
848,954,995
849,957,997
850,953,993
851,952,991
852,951,992
853,951,995
854,955,999
855,954,1000
856,952,1002
857,952,999
858,953,1001
859,954,1001
860,955,1005
861,957,1005
862,955,1004
863,951,1001
864,949,1001
865,951,1006
866,954,1007
867,953,1006
868,955,1003
869,954,999
870,954,999
871,953,1003
872,955,1002
873,958,1000
874,959,999
875,958,996
876,954,995
877,954,999
878,954,1002
879,956,1000
880,956,1000
881,954,999
882,953,995
883,955,997
884,957,998
885,958,995
886,956,996
887,956,989
888,954,988
889,956,994
890,959,997
891,959,997
892,960,995
893,956,991
894,953,991
895,952,992
896,953,997
897,955,1000
898,958,997
899,957,996
900,955,996
901,955,999
902,954,1000
903,958,1004
904,958,1005
905,955,1004
906,955,1001
907,954,1003
908,956,1007
909,955,1010
910,955,1008
911,955,1001
912,954,999
913,955,1001
914,955,1005
915,957,1003
916,953,1002
917,952,1002
918,951,996
919,951,996
920,952,1000
921,954,1003
922,953,1002
923,953,1001
924,953,999
925,954,998
926,955,1003
927,956,1001
928,953,1001
929,950,997
930,948,995
931,948,996
932,949,998
933,951,998
934,952,996
935,953,993
936,953,991
937,951,992
938,951,997
939,955,1001
940,956,1000
941,952,995
942,947,994
943,948,994
944,952,1002
945,955,1003
946,955,1003
947,951,1003
948,949,1002
949,947,1002
950,953,1006
951,954,1010
952,954,1008
953,952,1004
954,950,1003
955,950,1004
956,953,1009
957,954,1009
958,954,1005
959,951,1003
960,951,1001
961,952,1002
962,957,1003
963,959,1006
964,958,1003
965,959,1003
966,958,1002
967,961,1001
968,963,1005
969,962,1007
970,960,1004
971,959,999
972,960,998
973,962,998
974,968,1003
975,971,1000
976,975,999
977,976,995
978,978,993
979,978,995
980,979,1001
981,980,1001
982,977,999
983,974,996
984,971,991
985,969,994
986,973,998
987,972,1002
988,973,1002
989,970,1000
990,964,1002
991,961,1004
992,961,1005
993,960,1007
994,959,1008
995,957,1006
996,953,1004
997,951,1005
998,951,1007
999,948,1006
1000,946,1004
1001,944,1003
1002,945,1004
1003,948,1004
1004,949,1005
1005,947,1004
1006,941,1002
1007,940,1001
1008,940,1001
1009,939,1003
1010,941,1005
1011,943,1005
1012,942,1004
1013,939,1001
1014,938,1001
1015,942,1002
1016,945,1003
1017,944,1001
1018,940,996
1019,939,996
1020,937,997
1021,934,999
1022,933,1002
1023,931,1003
1024,934,999
1025,942,997
1026,971,997
1027,1019,1003
1028,1065,1004
1029,1116,1002
1030,1167,997
1031,1219,990
1032,1243,986
1033,1226,983
1034,1175,982
1035,1116,981
1036,1062,982
1037,1014,988
1038,987,997
1039,979,1007
1040,974,1012
1041,968,1012
1042,959,1009
1043,954,1006
1044,953,1006
1045,954,1009
1046,951,1009
1047,947,1009
1048,939,1008
1049,935,1006
1050,935,1006
1051,933,1005
1052,934,1006
1053,933,1006
1054,928,1006
1055,925,1004
1056,927,1004
1057,929,1007
1058,930,1007
1059,930,1008
1060,928,1005
1061,923,1001
1062,924,998
1063,926,998
1064,928,998
1065,925,998
1066,924,998
1067,926,996
1068,926,997
1069,929,997
1070,931,998
1071,929,997
1072,929,996
1073,927,997
1074,926,997
1075,928,1000
1076,929,1001
1077,931,1003
1078,929,1005
1079,926,1006
1080,929,1007
1081,931,1009
1082,929,1009
1083,927,1010
1084,927,1009
1085,927,1010
1086,929,1009
1087,930,1011
1088,931,1010
1089,929,1011
1090,929,1009
1091,928,1007
1092,930,1007
1093,929,1007
1094,932,1003
1095,932,1003
1096,931,1003
1097,927,1002
